strategy_count,candles_per_second
10,46418552.05919832
20,78646575.96909209
50,141947294.98755777
75,152418634.5424293
100,135009282.09736463
200,273702504.1898723
300,221822598.62399042
500,242929009.25455767
700,262079147.26983565
1000,297128844.7347182
2000,315854219.1122121
