,root,strategy,strategy_signal
1301,192.42434321792845,274.27089611244594,274.27089611244594
1302,181.60646375124682,258.8516957880726,258.8516957880726
1303,171.54105505314962,244.50502520991932,244.50502520991932
1304,168.9772516448987,240.85072323087738,240.85072323087738
1305,168.9243748354098,240.77535558414638,240.77535558414638
1306,159.52096223691393,227.3722572194888,227.3722572194888
1307,161.82244415872384,230.65266082396678,230.65266082396678
1308,168.24190013967538,239.80259432513483,239.80259432513483
1309,171.4950030383539,244.4393852438185,244.4393852438185
1310,176.0838627908997,250.98008927022988,250.98008927022988
1311,168.72480872130757,240.49090520727023,240.49090520727023
1312,163.9617975926457,233.70197555000672,233.70197555000672
1313,156.15097959639016,222.56887245411616,222.56887245411616
1314,149.80778197853363,213.52763335840828,213.52763335840828
1315,152.35530433546492,217.15872923753372,217.15872923753372
1316,143.4247946146493,204.42968018423912,204.42968018423912
1317,145.8387618873692,207.87041411635482,207.87041411635482
1318,145.8112306808844,207.83117267451138,207.83117267451138
1319,149.5380835524172,213.1432203066392,213.1432203066392
1320,138.21195925555057,196.99959622855465,196.99959622855465
1321,140.22578362467294,199.86998884674193,199.86998884674193
1322,140.3744784663502,200.08193015724407,200.08193015724407
1323,143.48505136875687,204.5155667912533,204.5155667912533
1324,147.5681287127386,210.33535686200332,210.33535686200332
1325,147.21872200497728,209.83733208383447,209.83733208383447
1326,140.92137600996722,200.86144732675137,200.86144732675137
1327,133.01345004525294,189.58993196407877,189.58993196407877
1328,134.18261734728623,191.2563976423369,191.2563976423369
1329,133.04079346404652,189.62890574385048,189.62890574385048
1330,132.4352351134479,188.76577674109768,188.76577674109768
1331,137.35357849421015,195.7761083024357,195.7761083024357
1332,133.7411765208958,190.6271925791418,190.6271925791418
1333,139.25509845012132,198.48642849146083,198.48642849146083
1334,132.97660646210224,189.53741718139722,189.53741718139722
1335,133.40017427141203,190.14114704572216,190.14114704572216
1336,133.59813780429496,190.42331319296423,190.42331319296423
1337,138.45411071875367,197.34474538014845,197.34474538014845
1338,138.12543657207607,196.87627163493127,196.87627163493127
1339,133.20463999276524,189.86244342159483,189.86244342159483
1340,131.89379571974183,187.99403931318733,187.99403931318733
1341,130.028394060087,185.33520012347142,185.33520012347142
1342,130.23828339765524,185.63436464567582,185.63436464567582
1343,125.52159819308798,178.91146536950748,178.91146536950748
1344,123.38696211256392,175.868874495149,175.868874495149
1345,137.03622616522554,195.3237720429043,195.3237720429043
1346,139.14320841909674,198.3269466994902,198.3269466994902
1347,138.2374576881056,197.03594026813607,197.03594026813607
1348,142.72955081679947,203.43871856127586,203.43871856127586
1349,141.71976083472686,201.9994204005709,201.9994204005709
1350,139.01772710824898,198.1480926574494,198.1480926574494
1351,142.33808741430886,202.88074852276193,202.88074852276193
1352,135.59706077758608,193.272466195001,193.272466195001
1353,138.7178897896727,188.8242110759004,188.8242110759004
1354,137.58632818861395,187.283917845318,187.283917845318
1355,136.10103056694686,185.2621155237181,185.2621155237181
1356,139.0116312813804,189.22405500025693,189.22405500025693
1357,136.08000886193838,185.23350056374636,185.23350056374636
1358,123.3634744864913,167.92362384413866,167.92362384413866
1359,117.17245301445726,159.49634206394958,159.49634206394958
1360,125.46745584582389,170.78758480041293,170.78758480041293
1361,129.2699324824875,175.96355490881925,175.96355490881925
1362,123.35181075824421,167.9077470578943,167.9077470578943
1363,122.99719742731453,167.42504376308986,167.42504376308986
1364,124.41369367416249,169.35319294924446,169.35319294924446
1365,121.61261053151473,165.54032991210906,165.54032991210906
1366,118.15393831271868,160.83234989543985,160.83234989543985
1367,119.67949098105531,162.9089477984945,162.9089477984945
1368,126.09051488752809,171.63569914371703,171.63569914371703
1369,138.54683677213978,188.59137195805636,188.59137195805636
1370,137.3793841808819,187.00222354434402,187.00222354434402
1371,138.78585884444334,188.91673124877855,188.91673124877855
1372,141.4145842516443,192.49497917269446,192.49497917269446
1373,148.3305902286179,201.9091172797425,201.9091172797425
1374,159.4065093128087,216.98577167654648,216.98577167654648
